Wavelength (nm)	Band 1p	Band 1	Band 2	Band 3	Band 4	Band 4p	Band 5p	Band 5	Band 7	Pan
569	0.00000	0.00000	0.91772	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.66508
570	0.00000	0.00000	0.91696	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.67184
571	0.00000	0.00000	0.91492	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.67914
572	0.00000	0.00000	0.91721	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.68976
573	0.00000	0.00000	0.92045	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.70260
574	0.00000	0.00000	0.92582	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.71348
575	0.00000	0.00000	0.93290	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.72163
576	0.00000	0.00000	0.94443	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.72921
577	0.00000	0.00000	0.95132	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.73354
578	0.00000	0.00000	0.95154	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000	0.74037
579	0.00000	0.00000	0.95563	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000	0.74644
580	0.00000	0.00000	0.95369	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.75287
581	0.00000	0.00000	0.95866	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000	0.76139
582	0.00000	0.00000	0.96390	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000	0.76641
583	0.00000	0.00000	0.96879	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.77090
584	0.00000	0.00000	0.97226	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.77360
585	0.00000	0.00000	0.97166	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.77717
586	0.00000	0.00000	0.96948	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000	0.78250
587	0.00000	0.00000	0.96714	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000	0.78864
588	0.00000	0.00000	0.96326	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000	0.79972
589	0.00000	0.00000	0.96344	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000	0.80318
590	0.00000	0.00000	0.96763	0.00005	0.00000	0.00000	0.00000	0.00000	0.00000	0.80863
